"genus","species","count","tree"
"Malus","sylvestris",19,"Malus sylvestris"
"Pinus","wallichiana",19,"Pinus wallichiana"
"Tilia","henryana",19,"Tilia henryana"
"Acer","pseudoplatanus (V)",18,"Acer pseudoplatanus (V)"
"Betula","albosinensis",18,"Betula albosinensis"
"Betula","spec.",18,"Betula spec."
"Cupressus","arizonica",18,"Cupressus arizonica"
"Maclura","pomifera",18,"Maclura pomifera"
"Acer","buergerianum",17,"Acer buergerianum"
"Cornus","spec.",17,"Cornus spec."
"Malus","floribunda",17,"Malus floribunda"
"Malus","trilobata",17,"Malus trilobata"
"Pinus","halepensis",17,"Pinus halepensis"
"Cornus","controversa",16,"Cornus controversa"
"Fraxinus","spec.",16,"Fraxinus spec."
"Pinus","parviflora",16,"Pinus parviflora"
"Taxodium","distichum",16,"Taxodium distichum"
"Toona","sinensis",16,"Toona sinensis"
"Acer","cissifolium",15,"Acer cissifolium"
"Acer","platanoides (V)",15,"Acer platanoides (V)"
"Acer","rufinerve",15,"Acer rufinerve"
"Alnus","spec.",15,"Alnus spec."
"Cornus","florida",15,"Cornus florida"
"Morus","nigra",15,"Morus nigra"
"Pseudotsuga","menziesii",15,"Pseudotsuga menziesii"
"Rhamnus","cathartica",15,"Rhamnus cathartica"
"Salix","fragilis",15,"Salix fragilis"
"Sequoia","sempervirens",15,"Sequoia sempervirens"
"Tetradium","daniellii",15,"Tetradium daniellii"
"Acer","carpinifolium",14,"Acer carpinifolium"
"Acer","griseum",14,"Acer griseum"
"Amelanchier","",14,"Amelanchier "
"Buxus","sempervirens",14,"Buxus sempervirens"
"Eucommia","ulmoides",14,"Eucommia ulmoides"
"Acer","x zoeschense",13,"Acer x zoeschense"
"Ginkgo","biloba (w)",13,"Ginkgo biloba (w)"
"Laburnum","x watereri",13,"Laburnum x watereri"
"Populus","x berolinensis",13,"Populus x berolinensis"
"Pyrus","salicifolia",13,"Pyrus salicifolia"
"Araucaria","araucana",12,"Araucaria araucana"
"Crataegus","x persimilis",12,"Crataegus x persimilis"
"Ginkgo","biloba (m)",12,"Ginkgo biloba (m)"
"Picea","spec.",12,"Picea spec."
"Quercus","x turneri",12,"Quercus x turneri"
"Salix","daphnoides",12,"Salix daphnoides"
"Tilia","mongolica",12,"Tilia mongolica"
"Acer","opalus",11,"Acer opalus"
"Chamaecyparis","pisifera",11,"Chamaecyparis pisifera"
"Prunus","maackii",11,"Prunus maackii"
"Salix","cinerea",11,"Salix cinerea"
"Betula","papyrifera",10,"Betula papyrifera"
"Cephalotaxus","harringtonii",10,"Cephalotaxus harringtonii"
"Corylus","avellana",10,"Corylus avellana"
"Euonymus","europaeus",10,"Euonymus europaeus"
"Liquidambar","spec.",10,"Liquidambar spec."
"Malus","tschonoskii",10,"Malus tschonoskii"
"Pinus","cembra",10,"Pinus cembra"
"Prunus","serotina",10,"Prunus serotina"
"Pyrus","spec.",10,"Pyrus spec."
"Quercus","coccinea",10,"Quercus coccinea"
"Quercus","x hispanica",10,"Quercus x hispanica"
"Catalpa","ovata",9,"Catalpa ovata"
"Diospyros","kaki",9,"Diospyros kaki"
"Elaeagnus","angustifolia",9,"Elaeagnus angustifolia"
"Nyssa","sylvatica",9,"Nyssa sylvatica"
"Populus","lasiocarpa",9,"Populus lasiocarpa"
"Prunus","fruticosa",9,"Prunus fruticosa"
"Prunus","serrula",9,"Prunus serrula"
"Quercus","macranthera",9,"Quercus macranthera"
"Sorbus","mougeotii",9,"Sorbus mougeotii"
